Pos,Team,MP,W,D,L,GF,GA,GD,Pts
1,Villarreal CF,38,21,8,9,55,23,32,71
2,FC Barcelona,38,22,5,11,66,35,31,71
3,Real Madrid,38,21,7,10,52,29,23,70
4,Atlético de Madrid,38,16,13,9,56,31,25,61
5,Athletic Club,38,17,8,13,39,27,12,59
6,Real Betis,38,16,11,11,42,37,5,59
7,Deportivo Alavés,38,16,8,14,38,37,1,56
8,Getafe CF,38,16,6,16,32,33,-1,54
9,Valencia CF,38,13,11,14,32,49,-17,50
10,Rayo Vallecano,38,12,12,14,31,30,1,48
11,Sevilla FC,38,13,9,16,39,40,-1,48
12,Levante UD,38,12,11,15,55,66,-11,47
13,CA Osasuna,38,12,10,16,32,36,-4,46
14,Real Sociedad,38,11,13,14,32,39,-7,46
15,Elche CF,38,11,13,14,35,43,-8,46
16,RCD Mallorca,38,11,12,15,33,43,-10,45
17,RC Celta,38,11,12,15,33,43,-10,45
18,RCD Espanyol,38,10,12,16,30,44,-14,42
19,Girona FC,38,8,14,16,27,44,-17,38
20,Real Oviedo,38,10,7,21,28,58,-30,37
