Team,Champion%,Top4%,Relegation%,AvgPoints,StdPoints
Real Madrid,43.37,99.64,0,84.0147,6.013342158
FC Barcelona,42,99.59,0,83.4674,5.810330218
Atletico Madrid,8.19,96.72,0,76.7787,5.933137982
Villarreal CF,6.42,95.62,0,75.8532,6.044108682
Athletic Club,0.01,1.85,0.09,56.3075,6.321957272
Real Betis,0.01,4.82,0.03,59.5311,6.160148764
Deportivo Alavas,0,0,14.91,41.5832,5.780733324
CA Osasuna,0,0.2,1.09,50.4441,6.260772731
Levante UD,0,0,43.14,37.3289,6.184248118
Elche CF,0,0.37,0.96,50.9804,6.293791849
Getafe CF,0,0.11,1.68,48.7842,6.094048766
Girona FC,0,0,67.14,33.8524,5.896169455
RCD Mallorca,0,0.01,9.89,43.6474,6.038466133
RCD Espanyol,0,0.07,1.29,49.4299,6.003322912
RC Celta,0,0.03,5.69,45.6479,6.124371444
Rayo Vallecano,0,0.94,0.12,54.8913,6.305353623
Real Oviedo,0,0,96.13,26.3895,5.359812473
Real Sociedad,0,0.01,10.83,43.2381,6.034402074
Sevilla FC,0,0.02,5.81,45.3684,5.982614933
Valencia CF,0,0,41.2,37.4708,6.037097594
